,Symptom
982,"Blinking eyes, Eye irritation, Red eye (single) and Sore or burning eyes"
983,"Blinking eyes, Eyelid redness, Red (bloodshot) eyes and Red eye (single)"
984,"Blinking eyes, Frequent squinting and Squinting eyes"
985,"Blinking eyes, Jaw Clicking, Coated tongue and Depressed mood"
986,"Blinking eyes, Lump or bulge, Pain or discomfort and Painful red lump on eyelid"
987,Blisters
988,Bloating and Fatigue
989,Bloating and Frequent urination
990,Bloating and Headache
991,Bloating and High blood pressure
992,Bloating and Hot flashes
993,Bloating and Hunger
994,Bloating and Increased thirst
995,Bloating and Metallic taste
996,Bloating and Pressure or fullness
997,Bloating and Shaking hands
998,Bloating and Shortness of breath
999,Bloating and Skin rash
1000,Bloating and Stiff neck
1001,Bloating and Throat tightness
1002,Bloating or fullness and Frequent nighttime urination
1003,Bloating or fullness and Hives
1004,Bloating or fullness and Hoarse voice
1005,Bloating or fullness and Muscle twitching (painless)
1006,Bloating or fullness and Nasal congestion
1007,Bloating or fullness and Palpitations (fluttering in chest)
1008,Bloating or fullness and Restless (urge to move) legs
1009,Bloating or fullness and Ringing in ears
1010,Bloating or fullness and Skin bumps
1011,Bloating or fullness and Testicular pain
1012,Bloating or fullness and Thin (pencil) stools
1013,Bloating or fullness and Urine leaking (incontinence)
1014,Bloating or fullness and Vaginal bleeding after menopause
1015,Bloating or fullness and Vaginal discharge
1016,Bloating or fullness and Weight gain
1017,Bloating or fullness and Weight loss (unintentional)
1018,Bloating or fullness and Yellow eyes
1019,"Bloating or fullness, Blurred vision and Headache"
1020,"Bloating or fullness, Blurred vision, Change in vision and Nausea or vomiting"
1021,"Bloating or fullness, Blurred vision, Constipation and Decreased night vision"
1022,"Bloating or fullness, Body aches or pains, Distended stomach and Fatigue"
1023,"Bloating or fullness, Body aches or pains, Fatigue and Nausea or vomiting"
1024,"Bloating or fullness, Body aches or pains, Joint aches and Low self-esteem"
1025,"Bloating or fullness, Chills, Decreased appetite and Dizziness"
1026,"Bloating or fullness, Chills, Dizziness and Drinking excessive fluids"
1027,"Bloating or fullness, Chills, Drowsiness and Fatigue"
1028,"Bloating or fullness, Chills, Fever and Muscle cramps or spasms (painful)"
1029,"Bloating or fullness, Chills, Fever and Nausea or vomiting"
1030,"Bloating or fullness, Cloudy urine with strong odor, Fatigue and Food cravings"
1031,"Bloating or fullness, Coffee grounds colored vomit, Cough and Distended stomach"
1032,"Bloating or fullness, Cold feet, Cold hands and Frequent urge to urinate"
1033,"Bloating or fullness, Cold feet, Numbness or tingling and Pain or discomfort"
1034,"Bloating or fullness, Cold hands, Joint pain (Elbow) and Joint pain (Fingers)"
1035,"Bloating or fullness, Confusion, Difficulty finding words and Distended stomach"
1036,"Bloating or fullness, Constipation and Weight loss (unintentional)"
1037,"Bloating or fullness, Constipation, Decreased appetite and Fatigue"
1038,"Bloating or fullness, Constipation, Decreased urination and Distended stomach"
1039,"Bloating or fullness, Constipation, Depressed mood and Dry mouth"
1040,"Bloating or fullness, Constipation, Difficulty sleeping and Early morning waking"
1041,"Bloating or fullness, Constipation, Dry skin (General) and Dry skin (Skin)"
1042,"Bloating or fullness, Constipation, Ear ache and Hearing loss"
1043,"Bloating or fullness, Constipation, Fatigue and High blood pressure"
1044,"Bloating or fullness, Constipation, Headache and Heartburn"
1045,"Bloating or fullness, Constipation, Headache and Mood swings"
1046,"Bloating or fullness, Constipation, Heartburn and Holding bowel movements"
1047,"Bloating or fullness, Constipation, Heartburn and Pain or discomfort"
1048,"Bloating or fullness, Constipation, Itching or burning and Joint pain"
1049,"Bloating or fullness, Constipation, Swelling (Fingers) and Swelling (Toes)"
1050,"Bloating or fullness, Curved spine, Joint instability and Joint pain"
1051,"Bloating or fullness, Dark colored (brown) urine, Decreased appetite and Fatigue"
1052,"Bloating or fullness, Depressed mood, Distended stomach and Fatigue"
1053,"Bloating or fullness, Diarrhea, Dizziness and Frequent urination"
1054,"Bloating or fullness, Diarrhea, Frequent urination and Increased passing gas"
1055,"Bloating or fullness, Diarrhea, Headache and Heartburn"
1056,"Bloating or fullness, Diarrhea, Joint pain (Neck (back)) and Joint pain (Wrist)"
1057,"Bloating or fullness, Difficulty urinating and Pain or discomfort"
1058,"Bloating or fullness, Distended stomach and Headache"
1059,"Bloating or fullness, Distended stomach, Drowsiness and Headache"
1060,"Bloating or fullness, Distended stomach, Ear ache and Itching or burning"
1061,"Bloating or fullness, Distended stomach, Enlarged or swollen glands and Fatigue"
1062,"Bloating or fullness, Distended stomach, Excessive crying and Fatigue"
1063,"Bloating or fullness, Distended stomach, Fatigue and Feeling faint"
1064,"Bloating or fullness, Distended stomach, Fatigue and Heartburn"
1065,"Bloating or fullness, Distended stomach, Fatigue and Swelling"
1066,"Bloating or fullness, Distended stomach, Flushed skin and Hot flashes"
1067,"Bloating or fullness, Distended stomach, Foul smelling stools and Heartburn"
1068,"Bloating or fullness, Distended stomach, Foul smelling stools and Lump or bulge"
1069,"Bloating or fullness, Distended stomach, Heartburn and Lump or bulge"
1070,"Bloating or fullness, Dizziness and Upset stomach"
1071,"Bloating or fullness, Dizziness, Excessive sweating and Fatigue"
1072,"Bloating or fullness, Dizziness, Excessive sweating and Feeling faint"
1073,"Bloating or fullness, Dizziness, Fatigue and Increased passing gas"
1074,"Bloating or fullness, Dizziness, Feeling faint and Headache"
1075,"Bloating or fullness, Dizziness, Feeling faint and Heartburn"
1076,"Bloating or fullness, Dizziness, Nausea or vomiting and Upset stomach"
1077,"Bloating or fullness, Drowsiness, Frightening dreams and Headache"
1078,"Bloating or fullness, Drowsiness, Increased passing gas and Mood swings"
1079,"Bloating or fullness, Dry eyes, Fatigue and Gritty or scratchy eyes"
1080,"Bloating or fullness, Dry skin, Ear ache and Flaking skin"
1081,"Bloating or fullness, Ear ache, Heartburn and Pain or discomfort"
1082,"Bloating or fullness, Easy bruising, Fatigue and Increased passing gas"
1083,"Bloating or fullness, Easy bruising, Fatigue and Joint pain"
1084,"Bloating or fullness, Enlarged or swollen glands, Fatigue and Lump or bulge"
1085,"Bloating or fullness, Enlarged or swollen glands, Fever and Lump or bulge"
1086,"Bloating or fullness, Excessive sweating, Feeling faint and Headache"
1087,"Bloating or fullness, Fatigue and Tires quickly"
1088,"Bloating or fullness, Fatigue, Frequent urination and Headache (worst ever)"
1089,"Bloating or fullness, Fatigue, Headache and Pain or discomfort"
1090,"Bloating or fullness, Fatigue, Muscle weakness and Nausea or vomiting"
1091,"Bloating or fullness, Fever, Headache and Pain or discomfort"
1092,"Bloating or fullness, Frequent bowel movements, Heartburn and Nausea or vomiting"
1093,"Bloating or fullness, Frequent urge to urinate, Gum sores and Hair loss"
1094,"Bloating or fullness, Frequent urge to urinate, Heartburn and Itching or burning"
1095,"Bloating or fullness, Frequent urination, Nausea or vomiting and Ringing in ears"
1096,"Bloating or fullness, Gagging, Nausea or vomiting and Pain or discomfort"
1097,"Bloating or fullness, Hair loss, Heartburn and Metallic taste in mouth"
1098,"Bloating or fullness, Headache and Mood swings"
1099,"Bloating or fullness, Headache, Joint pain (Hip) and Joint pain (Knee (patella))"
1100,"Bloating or fullness, Headache, Lightheadedness and Nausea or vomiting"
1101,"Bloating or fullness, Headache, Missed or late menstrual period and Mood swings"
1102,"Bloating or fullness, Headache, Pain or discomfort and Stiff neck"
1103,"Bloating or fullness, Heartburn, Increased passing gas and Pain or discomfort"
1104,"Bloating or fullness, Heartburn, Nausea or vomiting and Pain or discomfort"
1105,"Bloating or fullness, Hives, Itching or burning and Pain or discomfort"
1106,"Bloating or fullness, Hives, Nausea or vomiting and Skin blisters"
1107,"Bloating or fullness, Irregular menstrual periods and Swelling"
1108,"Bloating or fullness, Itching or burning and Vaginal discharge"
1109,"Bloating or fullness, Itching or burning, Lump or bulge and Numbness or tingling"
1110,"Bloating or fullness, Joint pain, Nausea or vomiting and Pain or discomfort"
1111,"Bloating or fullness, Missed or late menstrual period and Vaginal discharge"
1112,"Bloating or fullness, Pressure or fullness and Urine leaking (incontinence)"
1113,"Bloating or fullness, Swelling (Ankle) and Swelling (Foot (top))"
1114,"Bloating, Bleeding between periods and Vaginal discharge"
1115,"Bloating, Blood on stool surface, Red blood in stools and Change in stools"
1116,"Bloating, Blood or red colored urine and Cloudy odor urine"
1117,"Bloating, Blood or red colored urine, Distended stomach and Frequent urination"
1118,"Bloating, Body aches or pains, Chills and Constipation"
1119,"Bloating, Body aches or pains, Decreased appetite and Distended stomach"
1120,"Bloating, Body aches or pains, Distended stomach and Hot flashes"
1121,"Bloating, Body aches or pains, Excessive gas and Missed period"
1122,"Bloating, Body aches or pains, Fatigue and Increased thirst"
1123,"Bloating, Body aches or pains, Fatigue and Joint aches"
1124,"Bloating, Bowel habit change and Pain"
1125,"Bloating, Bowel habit change and Weight gain"
1126,"Bloating, Bowel habit change, Cloudy odor urine and Coffee grounds vomit"
1127,"Bloating, Bowel habit change, Constipation and Dry mouth"
1128,"Bloating, Bowel habit change, Constipation and Hives"
1129,"Bloating, Bowel habit change, Constipation and Joint pain"
1130,"Bloating, Bowel habit change, Craving ice and Distended stomach"
1131,"Bloating, Bowel habit change, Distended stomach, Frequent bowel movements"
1132,"Bloating, Broken bones, Bowel habit change"
1133,"Bloating, Bruising, Bowel habit change and Constipation"
1134,"Bloating, Bulging veins, Distended stomach and Pain"
1135,"Bloating, Chills, Distended stomach and Excessive sweating"
1136,"Bloating, Chills, Distended stomach and Fever"
1137,"Bloating, Chills, Distended stomach, Muscle cramps"
1138,"Bloating, Chills, Fatigue and Heartburn"
1139,"Bloating, Chills, Fever and Excessive gas"
1140,"Bloating, Cloudy odor urine and Constipation"
1141,"Bloating, Cloudy odor urine and Distended stomach"
1142,"Bloating, Cloudy odor urine, Distended stomach and Pain"
1143,"Bloating, Cloudy urine, Constipation, Dark colored urine"
1144,"Bloating, Cold feet, Cold hands and Distended stomach"
1145,"Bloating, Cold feet, Constipation and Distended stomach"
1146,"Bloating, Constipation and Enlarged glands"
1147,"Bloating, Constipation and Foul smelling stools"
1148,"Bloating, Constipation and Frequent urination"
1149,"Bloating, Constipation and Missed period"
1150,"Bloating, Constipation and Nausea or vomiting"
1151,"Bloating, Constipation and Sore throat"
1152,"Bloating, Constipation and Vaginal discharge"
1153,"Bloating, Constipation and Weight gain"
1154,"Bloating, Constipation, Decreased appetite and Diarrhea"
1155,"Bloating, Constipation, Distended stomach and Lump or bulge"
1156,"Bloating, Constipation, Dizziness and Fainting"
1157,"Bloating, Constipation, Excessive gas and Pain"
1158,"Bloating, Constipation, Excessive gas and Straining with bowel movements"
1159,"Bloating, Constipation, Excessive gas, Painful intercourse"
1160,"Bloating, Constipation, Fatigue and Excessive gas"
1161,"Bloating, Constipation, Fatigue and Hot flashes"
1162,"Bloating, Constipation, Foul smelling stools and Numbness or tingling"
1163,"Bloating, Constipation, Frequent urination and Mood swings"
1164,"Bloating, Constipation, Headache and Nausea or vomiting"
1165,"Bloating, Constipation, Heartburn and Nausea or vomiting"
1166,"Bloating, Constipation, Hot flashes and Nausea or vomiting"
1167,"Bloating, Constipation, Pain and Tenderness to touch"
1168,"Bloating, Constipation, Painful intercourse, Straining with bowel movements"
1169,"Bloating, Cough, Distended stomach and Itching or burning"
1170,"Bloating, Cough, Excessive gas, Muscle cramps"
1171,"Bloating, Cough, Nasal congestion and Nausea or vomiting"
1172,"Bloating, Decreased appetite, Distended stomach and Fatigue"
1173,"Bloating, Decreased appetite, Dry mouth and Nausea or vomiting"
1174,"Bloating, Decreased appetite, Weight loss"
1175,"Bloating, Diarrhea and Missed period"
1176,"Bloating, Diarrhea and Stomach cramps"
1177,"Bloating, Diarrhea, Distended stomach and Dry mouth"
1178,"Bloating, Diarrhea, Distended stomach and Excessive gas"
1179,"Bloating, Diarrhea, Distended stomach and Mouth sores"
1180,"Bloating, Diarrhea, Distended stomach and Pain"
1181,"Bloating, Diarrhea, Dry mouth and Increased thirst"
1182,"Bloating, Diarrhea, Excessive gas and Nausea or vomiting"
1183,"Bloating, Diarrhea, Fatigue and Frequent bowel movements"
1184,"Bloating, Diarrhea, Heartburn and Excessive gas"
1185,"Bloating, Diarrhea, Nausea or vomiting and Pain"
1186,"Bloating, Diarrhea, Nausea or vomiting and Upset stomach"
1187,"Bloating, Difficulty urinating, Distended stomach and Frequent urination"
1188,"Bloating, Distended stomach and Frequent urination"
1189,"Bloating, Distended stomach and Pain"
1190,"Bloating, Distended stomach and Painful intercourse"
1191,"Bloating, Distended stomach and Pulsating sensation"
1192,"Bloating, Distended stomach and Tenderness to touch"
1193,"Bloating, Distended stomach and Warm to touch"
1194,"Bloating, Distended stomach and Weight gain"
1195,"Bloating, Distended stomach, Dizziness and Drowsiness"
1196,"Bloating, Distended stomach, Dry mouth and Increased thirst"
1197,"Bloating, Distended stomach, Excessive gas and Lump or bulge"
1198,"Bloating, Distended stomach, Excessive gas and Pain"
1199,"Bloating, Distended stomach, Excessive gas, Painful intercourse"
1200,"Bloating, Distended stomach, Fatigue and Headache"
1201,"Bloating, Distended stomach, Fatigue and Restless or irritability"
1202,"Bloating, Distended stomach, Food getting stuck, Heartburn"
1203,"Bloating, Distended stomach, Frequent urination and Irregular periods"
1204,"Bloating, Distended stomach, Headache and Excessive gas"
1205,"Bloating, Distended stomach, Hunched or stooped posture and Pain"
1206,"Bloating, Distended stomach, Increased thirst and Pain"
1207,"Bloating, Distended stomach, Itching or burning and Pain"
1208,"Bloating, Distended stomach, Joint pain and Pain"
1209,"Bloating, Distended stomach, Lump or bulge and Pain"
1210,"Bloating, Distended stomach, Lump or bulge and Pulsating sensation"
1211,"Bloating, Distended stomach, Missed period and Pain"
1212,"Bloating, Distended stomach, Muscle cramps, Pain"
1213,"Bloating, Distended stomach, Nausea or vomiting and Pain"
1214,"Bloating, Distended stomach, Nausea or vomiting and Pressure or fullness"
1215,"Bloating, Distended stomach, Numbness or tingling and Pain"
1216,"Bloating, Distended stomach, Pain and Pressure or fullness"
1217,"Bloating, Distended stomach, Pain and Stiffness or decreased movement"
1218,"Bloating, Distended stomach, Pain and Swelling"
1219,"Bloating, Distended stomach, Pressure or fullness and Upset stomach"
1220,"Bloating, Distended stomach, Pulsating sensation and Swelling"
1221,"Bloating, Dizziness, Excessive gas and Lightheadedness"
1222,"Bloating, Dizziness, Fainting and Frequent urination"
1223,"Bloating, Dizziness, Fatigue and Feeling faint"
1224,"Bloating, Dizziness, Fatigue and Frequent urination"
1225,"Bloating, Dizziness, Fatigue and Nausea or vomiting"
1226,"Bloating, Dizziness, Feeling faint and Excessive gas"
1227,"Bloating, Dizziness, Feeling faint and Nausea or vomiting"
1228,"Bloating, Dizziness, Foul smelling stools and Excessive gas"
1229,"Bloating, Dizziness, Headache and Excessive gas"
1230,"Bloating, Dizziness, Lightheadedness and Nausea or vomiting"
1231,"Bloating, Dry mouth and Feeling smothered"
1232,"Bloating, Dry skin, Itching or burning and Pain"
1233,"Bloating, Early morning waking and Frequent urination"
1234,"Bloating, Excessive gas and Numbness or tingling"
1235,"Bloating, Excessive gas and Worms in stool"
1236,"Bloating, Excessive gas, Joint pain and Pain"
1237,"Bloating, Excessive gas, Nausea or vomiting and Pain"
1238,"Bloating, Excessive sweating, Fatigue and Sensitivity to heat"
1239,"Bloating, Fatigue and Joint pain"
1240,"Bloating, Fatigue and Weight gain"
1241,"Bloating, Fatigue, Excessive gas and Muscle weakness"
1242,"Bloating, Fatigue, Excessive gas and Nausea or vomiting"
1243,"Bloating, Fatigue, Frequent urination and Headache"
1244,"Bloating, Fatigue, Headache and Excessive gas"
1245,"Bloating, Fatigue, Headache and Heartburn"
1246,"Bloating, Fatigue, Headache and Nausea or vomiting"
1247,"Bloating, Fatigue, Heartburn and Nausea or vomiting"
1248,"Bloating, Fatigue, Hunger and Mood swings"
1249,"Bloating, Fatigue, Hunger and Nausea or vomiting"
1250,"Bloating, Fatigue, Nausea or vomiting and Upset stomach"
1251,"Bloating, Foul smelling stools, Frequent bowel movements and Excessive gas"
1252,"Bloating, Frequent urinate, Frequent urination, Muscle cramps"
1253,"Bloating, Frequent urinate, Hyperventilating, Irregular heartbeat"
1254,"Bloating, Frequent urination and Frequent Urination"
1255,"Bloating, Frequent urination and Pain"
1256,"Bloating, Frequent urination and Pressure or fullness"
1257,"Bloating, Frequent urination, Excessive gas and Irregular periods"
1258,"Bloating, Frequent urination, Excessive gas and Missed period"
1259,"Bloating, Frequent urination, Heartburn and Excessive gas"
1260,"Bloating, Headache and Nausea or vomiting"
1261,"Bloating, Headache and Stiff neck"
1262,"Bloating, Headache, Excessive gas and Nausea or vomiting"
1263,"Bloating, Headache, Excessive gas and Pressure or fullness"
1264,"Bloating, Headache, Mood swings and Nausea or vomiting"
1265,"Bloating, Headache, Nausea or vomiting and Pain"
1266,"Bloating, Headache, Nausea or vomiting and Stomach cramps"
1267,"Bloating, Heartburn and Weight gain"
1268,"Bloating, Heartburn, Itching or burning and Nausea or vomiting"
1269,"Bloating, Hot flashes, Night sweats and Pain"
1270,"Bloating, Irregular periods, Pain, Painful intercourse"
1271,"Bloating, Missed period and Pain"
1272,"Bloating, Missed period, Muscle cramps, No periods"
1273,"Bloating, Missed period, Nausea or vomiting and No menstrual periods"
1274,"Bloating, Muscle cramps, Pain"
1275,"Bloating, Nausea or vomiting and Pain"
1276,"Bloating, Nausea or vomiting and Upset stomach"
1277,"Bloating, Nausea or vomiting and Weight gain"
1278,"Bloating, Nausea or vomiting, Pain and Pressure or fullness"
1279,"Bloating, Nausea or vomiting, Stomach cramps and Upset stomach"
1280,"Bloating, Pain and Pressure or heaviness"
1281,"Bloating, Pain and Stiff neck"
1282,"Bloating, Pain and Testicular pain"
1283,"Bloating, Pain and Upset stomach"
1284,"Bloating, Pain and Weight gain"
1285,"Bloating, Pain, Pressure or fullness and Tenderness to touch"
1286,"Bloating, Palpitations, Rapid heart rate"
1287,"Bloating, Pulsating sensation and Upset stomach"
1288,"Bloating, Pulsating sensation and Vaginal discharge"
1289,"Bloating, purging, Pain, Upset stomach"
1290,"Bloating, purging, Upset stomach"
1291,"Bloating, Rapid heart rate"
1292,"Bloating, Sore throat and Upset stomach"
1293,"Bloating, Stomach cramps and Vaginal discharge"
1294,"Bloating, Vaginal discharge and Vaginal odor"
1295,Blood Clot in the Lung (Pulmonary Embolism Symptoms and Signs)
1296,Blood Clot Symptoms and Signs
1297,Blood in Semen
1298,Blood in toilet and Blood or red colored urine
1299,Blood in toilet and Itching or burning
1300,Blood in toilet and Nausea or vomiting
1301,Blood in toilet and Night sweats
1302,Blood in toilet and Red colored vomit
1303,"Blood in toilet, Blood on stool surface and Change in stools"
1304,"Blood in toilet, Blood on stool surface and Red blood in stools"
1305,"Blood in toilet, Blood on stool surface, Blood on toilet tissue and Flaking skin"
1306,"Blood in toilet, Blood on stool surface, Blood on toilet tissue and Hives"
1307,"Blood in toilet, Blood on stool surface, Decreased appetite and Fatigue"
1308,"Blood in toilet, Blood on toilet tissue, Diarrhea and Frequent bowel movements"
1309,"Blood in toilet, Bulging veins and Lump or bulge"
1310,"Blood in toilet, Change in stools, Irregular periods and Missed period"
1311,"Blood in toilet, Excessive gas and Pain"
1312,"Blood in toilet, Frequent urination and Itching or burning"
1313,"Blood in toilet, Itching or burning, Pain, Painful intercourse"
1314,"Blood in toilet, Muscle cramps or spasms (painful) and Pain or discomfort"
1315,"Blood in toilet, Red blood in stools, Dizziness and Fatigue"
1316,"Blood in toilet, Red blood stools, Smelling stools, Frequent bowel movements"
1317,Blood In Urine
1318,Blood on stool surface and Blood or red colored urine
1319,Blood on stool surface and Fever
1320,Blood on stool surface and Hair loss
1321,Blood on stool surface and Thin (pencil) stools
1322,"Blood on stool surface, Blood in toilet and Pain"
1323,"Blood on stool surface, Blood on toilet tissue, Blurred vision and Bulging eyes"
1324,"Blood on stool surface, Bloody or red colored stools and Upset stomach"
1325,"Blood on stool surface, Change in stools, Depressed mood and Drowsiness"
1326,"Blood on stool surface, Choking, Difficulty swallowing and Fatigue"
1327,"Blood on stool surface, Hair loss, Lightheadedness and Muffled voice"
1328,"Blood on stool surface, Hair loss, Lightheadedness and Painful bowel movements"
1329,"Blood on stool surface, Red blood in stools and Dizziness"
1330,Blood on toilet tissue and Itching or burning
1331,Blood on toilet tissue and Missed or late menstrual period
1332,Blood on toilet tissue and Nosebleed
1333,Blood on toilet tissue and Thin (pencil) stools
1334,Blood on toilet tissue and Vaginal discharge
1335,"Blood on toilet tissue, Change in stools, Dizziness and Excessive sweating"
1336,"Blood on toilet tissue, Change in stools, Hair loss and Pain or discomfort"
1337,"Blood on toilet tissue, Chills, Ear ache and Fatigue"
1338,"Blood on toilet tissue, Drainage or pus and Stool leaking (incontinence)"
1339,"Blood on toilet tissue, Drainage or pus, Lump or bulge and Pain or discomfort"
1340,"Blood on toilet tissue, Nausea or vomiting and Upset stomach"
1341,"Blood on toilet tissue, Stool leaking (incontinence) and Thin (pencil) stools"
1342,Blood or red colored urine and Cough
1343,Blood or red colored urine and Decreased urination
1344,Blood or red colored urine and Diarrhea
1345,Blood or red colored urine and Drainage or pus
1346,Blood or red colored urine and Fatigue
1347,Blood or red colored urine and Headache
1348,Blood or red colored urine and Heavy menstrual bleeding
1349,Blood or red colored urine and Irregular menstrual periods
1350,Blood or red colored urine and Joint pain
1351,Blood or red colored urine and Missed period
1352,Blood or red colored urine and Muscle cramps or spasms (painful)
1353,Blood or red colored urine and Nausea or vomiting
1354,Blood or red colored urine and Skin rash
1355,Blood or red colored urine and Testicular pain
1356,Blood or red colored urine and Upset stomach
1357,Blood or red colored urine and Vaginal discharge
1358,"Blood or red colored urine, Constipation and Pain or discomfort"
1359,"Blood or red colored urine, Cough, Decreased urination and Difficulty swallowing"
1360,"Blood or red colored urine, Dizziness, Feeling faint and Frequent urination"
1361,"Blood or red colored urine, Fatigue, Fever and Headache"
1362,"Blood or red colored urine, Fever, Headache and Pain or discomfort"
1363,"Blood or red colored urine, Frequent urination and Pain with urination"
1364,"Blood or red colored urine, Headache and Pain"
1365,Bloody Nose
1366,Bloody or red colored stools and Bruising or discoloration
1367,Bloody or red colored stools and Drainage or pus
1368,Bloody or red colored stools and Heartburn
1369,Bloody or red colored stools and Thin (pencil) stools
1370,"Bloody or red colored stools, Diarrhea and Pain or discomfort"
1371,Bloody or red colored vomit and Headache
1372,Bloody or red colored vomit and Heartburn
1373,Bloody or red colored vomit and Nosebleed
1374,"Bloody or red colored vomit, Constipation and Nausea or vomiting"
1375,"Bloody or red colored vomit, Dizziness and Nausea or vomiting"
1376,"Bloody or red colored vomit, Fever and Nausea or vomiting"
1377,"Bloody or red colored vomit, Headache and Nausea or vomiting"
1378,Bloody Sputum
1379,Blue colored lips and Bruising
1380,Blue colored lips and Pain or discomfort
1381,"Blue colored lips, Body aches or pains, Change in stools and Chills"
1382,"Blue colored lips, Body aches or pains, Chills and Cold feet"
1383,"Blue colored lips, Color change, Irregular heartbeat and Labored breathing"
1384,Blue colored skin and Blue colored lips
1385,Blue colored skin and Blue colored skin
1386,Blue colored skin and Cold feet
1387,Blue colored skin and Enlarged finger tips
1388,Blue colored skin and Skin bumps
1389,Blue colored skin and Skin redness
1390,Blue colored skin and Swelling
1391,"Blue colored skin, Blurred vision, Cold feet and Difficult to wake from sleep"
1392,"Blue colored skin, Body aches or pains, Cold feet and Cold hands"
1393,"Blue colored skin, Bruising and Cold feet"
1394,"Blue colored skin, Bruising and Guarding or favoring joint"
1395,"Blue colored skin, Bruising or discoloration, Joint pain and Swelling"
1396,"Blue colored skin, Bulging veins, Change in vision and Color change"
1397,"Blue colored skin, Chills, Cold hands and Fatigue"
1398,"Blue colored skin, Coated or furry tongue, Color change and Difficulty talking"
1399,"Blue colored skin, Cold feet and Cold hands"
1400,"Blue colored skin, Cold feet and Color change"
1401,"Blue colored skin, Cold feet and Numbness or tingling"
1402,"Blue colored skin, Cold feet and Pain or discomfort"
1403,"Blue colored skin, Cold feet and Swelling"
1404,"Blue colored skin, Cold feet, Joint pain and Morning joint stiffness"
1405,"Blue colored skin, Cold hands and Joint pain"
1406,"Blue colored skin, Cold hands, Diarrhea and Increased passing gas"
1407,"Blue colored skin, Cold hands, Dizziness and Headache"
1408,"Blue colored skin, Cold hands, Dizziness and Pale skin"
1409,"Blue colored skin, Cold hands, Enlarged finger tips and Joint pain"
1410,"Blue colored skin, Cold hands, Pain or discomfort and Swelling"
1411,"Blue colored skin, Color change and Swelling"
1412,"Blue colored skin, Color change, Joint pain (Shoulder) and Joint pain (Wrist)"
1413,"Blue colored skin, Color change, Pain or discomfort and Swelling"
1414,"Blue colored skin, Dry skin, Flaking skin and Itching or burning"
1415,"Blue colored skin, Joint pain and Morning stiffness"
1416,"Blue colored skin, Joint pain, Pain or discomfort and Swelling"
1417,"Blue colored skin, Lump or bulge and Visible deformity"
1418,"Blue colored skin, Lump or bulge, Numbness or tingling and Swelling"
1419,"Blue colored skin, Lump or bulge, Pain and Swelling"
1420,"Blue colored skin, Lump or bulge, Pain or discomfort and Tenderness to touch"
1421,"Blue colored skin, Pain or discomfort and Tenderness to touch"
1422,"Blue colored skin, Pain or discomfort, Swelling and Tenderness to touch"
1423,"Blue colored skin, Swelling and Warm to touch"
1424,Blunted Affect (Flat Affect)
1425,Blurred Vision
1426,Blurred vision and Cloudy vision
1427,Blurred vision and Diarrhea
1428,Blurred vision and Dizziness
1429,Blurred vision and Drowsiness
1430,Blurred vision and Dry mouth
1431,Blurred vision and Excessive sweating
1432,Blurred vision and Eyes do not track together
1433,Blurred vision and Fainting
1434,Blurred vision and Fatigue
1435,Blurred vision and Frequent urination
1436,Blurred vision and Hearing loss
1437,Blurred vision and Hot flashes
1438,Blurred vision and Increased thirst
1439,Blurred vision and Lightheadedness
1440,Blurred vision and Loss of side vision
1441,Blurred vision and Metallic taste in mouth
1442,Blurred vision and Nausea or vomiting
1443,Blurred vision and Nosebleed
1444,Blurred vision and Numbness
1445,Blurred vision and Numbness or tingling
1446,Blurred vision and Pain when moving eyes
1447,Blurred vision and Painful red lump on eyelid
1448,Blurred vision and Ringing in ears
1449,Blurred vision and Runny nose
1450,Blurred vision and Sensation of something in eye
1451,Blurred vision and Shadow over part of vision
1452,Blurred vision and Shaking
1453,Blurred vision and Shaking hands
1454,Blurred vision and Shortness of breath
1455,Blurred vision and Slurred speech
1456,Blurred vision and Sore or burning eyes
1457,Blurred vision and Sore throat
1458,Blurred vision and Spinning sensation
1459,Blurred vision and Squinting eyes
1460,Blurred vision and Stiff neck
1461,Blurred vision and Sudden flash of lights
1462,Blurred vision and Throat tightness
1463,Blurred vision and Upset stomach
1464,Blurred vision and Vision fading of colors
1465,Blurred vision and Visual halos around lights
1466,"Blurred vision, Body aches or pains, Bulging eyes and Joint aches"
1467,"Blurred vision, Body aches or pains, Chills and Decreased appetite"
1468,"Blurred vision, Body aches or pains, Chills and Difficulty swallowing"
1469,"Blurred vision, Body aches or pains, Chills and Fatigue"
1470,"Blurred vision, Body aches or pains, Excessive sweating and Fatigue"
1471,"Blurred vision, Body aches or pains, Headache and Joint pain"
1472,"Blurred vision, Body aches or pains, Vision Distortion and Dry eyes"
1473,"Blurred vision, Bowel habit change, Change in vision and Diarrhea"
1474,"Blurred vision, Brittle hair, Clicking or popping sound from jaw and Cold feet"
1475,"Blurred vision, Bruising or discoloration, Cloudy vision and Eye irritation"
1476,"Blurred vision, Bruising or discoloration, Drooping eyelid and Eyelid redness"
1477,"Blurred vision, Bulging veins, Drooping eyelid and Headache"
1478,"Blurred vision, Change in vision and Visual halos around lights"
1479,"Blurred vision, Change in vision, Cloudy vision and Cough"
1480,"Blurred vision, Change in vision, Color change, Double vision"
1481,"Blurred vision, Change in vision, Constipation and Depressed mood"
1482,"Blurred vision, Change in vision, Dizziness, Muscle cramps"
